pl_name,pl_rade,pl_eqt,pl_orbper,st_spectype
"HD 149026 b",8.33267000,1602.00,2.87588310000,
"HAT-P-13 b",16.77836104,1701.00,2.91640044952,
"TOI-5422 b",10.56541961,1277.23,5.37679969837,
"WASP-14 b",14.28920000,1690.00,2.24384710000,
"WASP-37 b",13.50735058,1232.50,3.57718908979,
"WASP-39 b",15.85336760,1075.56,4.05528321079,
"WASP-24 b",15.49920000,1540.00,2.34099090000,
"WASP-18 b",15.34200000,2251.00,0.94145250000,
"WASP-29 b",7.23153000,1091.00,3.92271220000,
"WASP-72 b",18.25080000,1864.00,2.21674000000,
"WASP-140 b",13.43674430,1200.78,2.23598645524,
"WASP-35 b",14.86195464,1338.29,3.16156970081,
"WASP-101 b",15.85259012,1465.19,3.58570760707,
"WASP-64 b",14.72475239,1603.81,1.57328484098,
"KELT-9 b",20.34024214,3446.02,1.48109028542,
"HAT-P-41 b",18.25137548,1800.75,2.69403477519,
"Kepler-17 b",14.85854478,1595.35,1.48571479660,
"CoRoT-2 b",16.92270968,1409.55,1.74301433466,
"WASP-2 b",11.99944272,1189.67,2.15216301909,
"HAT-P-23 b",14.10495771,1854.66,1.21291385425,
"TOI-5799 b",1.98813928,487.30,4.16454481954,
"WASP-80 b",11.79968678,744.08,3.06781598971,
"K2-121 b",7.50399000,935.00,5.18576800000,
"Kepler-76 b",13.43000000,1997.00,1.54492889200,
"WASP-74 b",15.73743600,1926.00,2.13774450000,
"HD 202772 A b",17.31790500,2132.00,3.30895800000,
"TrES-2 b",13.77586100,1466.00,2.47061437000,
"CoRoT-2 b",15.84952600,1535.00,1.74299750000,
"HAT-P-12 b",10.63734100,975.00,3.21305790000,
"WASP-12 b",20.38917100,2601.00,1.09141990000,
"WASP-52 b",13.70860700,1309.00,1.74978280000,
"HAT-P-32 b",22.19382000,1835.70,2.15000820000,
"WASP-121 b",20.17620000,2720.00,1.27492550000,
"WASP-12 b",21.71183300,2592.60,1.09142000000,
"WASP-50 b",13.06969400,1394.84,1.95510000000,
"WASP-33 b",17.85593700,2781.70,1.21987000000,
"TOI-1798.02",1.37400198,1943.17,0.43780833646,
"TOI-1266 c",1.91122823,325.83,18.80161110998,
"WASP-46 b",13.15936600,1636.00,1.43036763000,"G6 V"
"HAT-P-18 b",10.61492300,841.00,5.50797800000,
"HAT-P-32 b",20.13136400,1779.00,2.15000850000,
"WASP-80 b",11.05207400,825.00,,
